country,sector,value
ARG,01T02,3751.921661829102
ARG,03,77.53830445054238
ARG,05T06,1321.9888855212714
ARG,07T08,51.0274228793103
ARG,10T12,53.31957134995618
ARG,13T15,242.4411759132503
ARG,16,63.17202136576737
ARG,17T18,57.80887207182833
ARG,19,350.2614826862572
ARG,20,212.99346130289226
ARG,21,48.96662423432576
ARG,22,418.66945460485186
ARG,23,1330.3533419387888
ARG,24,650.8251788549235
ARG,25,11.656195331475006
ARG,26,3.421308204874821
ARG,27,4.944064347915937
ARG,28,8.118601409229045
ARG,29T30,9.18853699208809
ARG,31T33,335.84980188900914
ARG,35,1700.5360466842865
ARG,36T39,50.80757072072782
ARG,41T43,10.424179370049231
ARG,45T47,31.496280556873074
ARG,49,365.7019161369675
ARG,50,1461.007927397783
ARG,51,1220.0664522803304
ARG,52,106.03864189457033
ARG,53,51.5925691393973
ARG,55T56,11.951498743234568
ARG,58T60,12.712857277462211
ARG,61,14.227231877901254
ARG,62T63,12.249738448820674
ARG,64T66,13.831174837738793
ARG,68,9.890066356516158
ARG,69T75,16.857078720630096
ARG,77T82,31.917315657966014
ARG,84,33.169102931236615
ARG,85,13.638440400329312
ARG,86T88,12.174516758227591
ARG,90T93,16.30425062676191
ARG,94T98,8.838317738450902
AUS,01T02,2670.900305959225
AUS,03,150.16181899332216
AUS,05T06,349.150448869764
AUS,07T08,199.17610294927198
AUS,10T12,40.53584508449444
AUS,13T15,89.73456971604556
AUS,16,33.339010343583745
AUS,17T18,78.23935233678411
AUS,19,1315.9393294878062
AUS,20,768.4847804590448
AUS,21,185.4944448792026
AUS,22,62.865004356871964
AUS,23,714.917293427128
AUS,24,593.3562873312093
AUS,25,19.503672554243085
AUS,26,4.151482037176262
AUS,27,5.1369716801312135
AUS,28,6.4181735167579195
AUS,29T30,5.7629492667672375
AUS,31T33,20.611433260212287
AUS,35,3146.065948022762
AUS,36T39,26.180959071254115
AUS,41T43,26.07413369776974
AUS,45T47,15.38681395954277
AUS,49,371.9015406836791
AUS,50,483.1064134733055
AUS,51,1011.409211362574
AUS,52,16.114459113471565
AUS,53,106.09309747927308
AUS,55T56,6.0541262984031965
AUS,58T60,11.498316789106045
AUS,61,33.70602244703729
AUS,62T63,3.6898445470452246
AUS,64T66,8.416760541731337
AUS,68,4.007029416669843
AUS,69T75,8.630043085895192
AUS,77T82,7.057330306013566
AUS,84,11.710540941276955
AUS,85,4.772938367074307
AUS,86T88,5.935623497658179
AUS,90T93,6.072423010992886
AUS,94T98,5.634738735896535
AUT,01T02,773.3936365933283
AUT,03,38.27640782531801
AUT,05T06,1963.196322299265
AUT,07T08,292.2867670192239
AUT,10T12,29.31333450070325
AUT,13T15,26.480853594131155
AUT,16,34.44353039281215
AUT,17T18,155.46204753654152
AUT,19,192.86544730066268
AUT,20,184.22221073375312
