row_country,row_sector,col_country,value
ARG,01T02,ARG,9906.64709
ARG,01T02,AUS,2.587581
ARG,01T02,AUT,3.263329
ARG,01T02,BEL,3.898431
ARG,01T02,BGR,1.858074
ARG,01T02,BRA,335.341258
ARG,01T02,BRN,0.039561
ARG,01T02,CAN,13.105835
ARG,01T02,CHE,5.348269
ARG,01T02,CHL,177.711043
ARG,01T02,CHN,160.565195
ARG,01T02,COL,54.123102
ARG,01T02,CRI,0.97815
ARG,01T02,CYP,0.555242
ARG,01T02,CZE,4.109109
ARG,01T02,DEU,35.412869
ARG,01T02,DNK,1.536857
ARG,01T02,ESP,48.302681
ARG,01T02,EST,0.124001
ARG,01T02,FIN,0.706762
ARG,01T02,FRA,23.372601
ARG,01T02,GBR,83.921468
ARG,01T02,GRC,4.834918
ARG,01T02,HRV,0.384875
ARG,01T02,HUN,0.138464
ARG,01T02,IDN,80.53261
ARG,01T02,IND,17.460008
ARG,01T02,IRL,1.218702
ARG,01T02,ISL,0.1932549999999999
ARG,01T02,ISR,6.69844
ARG,01T02,ITA,65.643474
ARG,01T02,JPN,22.556325
ARG,01T02,KAZ,0.156482
ARG,01T02,KHM,2.400399
ARG,01T02,KOR,37.905403
ARG,01T02,LAO,0.000381
ARG,01T02,LTU,0.305749
ARG,01T02,LVA,0.097189
ARG,01T02,MAR,47.955973
ARG,01T02,MEX,11.448896
ARG,01T02,MLT,0.058378
ARG,01T02,MMR,0.006854
ARG,01T02,NLD,12.950692
ARG,01T02,NOR,2.058958
ARG,01T02,NZL,1.59609
ARG,01T02,PER,60.201189
ARG,01T02,PHL,10.175629
ARG,01T02,POL,13.18117
ARG,01T02,PRT,6.623532
ARG,01T02,ROU,1.578803
ARG,01T02,ROW,787.860951
ARG,01T02,RUS,65.341198
ARG,01T02,SAU,95.877732
ARG,01T02,SGP,113.183314
ARG,01T02,SVK,1.281592
ARG,01T02,SVN,1.357173
ARG,01T02,SWE,1.306348
ARG,01T02,THA,40.001931
ARG,01T02,TUN,5.512195
ARG,01T02,TUR,14.105701
ARG,01T02,TWN,16.639736
ARG,01T02,USA,109.739964
ARG,01T02,VNM,146.449347
ARG,01T02,ZAF,6.654157
ARG,03,ARG,1304.18034
ARG,03,AUS,3.956768
ARG,03,AUT,0.394027
ARG,03,BEL,0.8816379999999999
ARG,03,BGR,0.0457749999999999
ARG,03,BRA,8.977739
ARG,03,BRN,0.063749
ARG,03,CAN,0.529997
ARG,03,CHE,0.420855
ARG,03,CHL,8.547981
ARG,03,CHN,11.752451
ARG,03,COL,0.916001
ARG,03,CRI,0.127624
ARG,03,CYP,0.219524
ARG,03,CZE,0.140453
ARG,03,DEU,3.989834
ARG,03,DNK,1.001751
ARG,03,ESP,6.79713
ARG,03,EST,0.020197
ARG,03,FIN,0.038547
ARG,03,FRA,2.006101
ARG,03,GBR,4.646003
ARG,03,GRC,1.147972
ARG,03,HRV,0.041825
ARG,03,HUN,0.069748
ARG,03,IDN,9.004455
ARG,03,IND,35.636755
ARG,03,IRL,0.873424
ARG,03,ISL,0.015624
ARG,03,ISR,0.717818
ARG,03,ITA,6.265578
ARG,03,JPN,2.24892
ARG,03,KAZ,0.171226
ARG,03,KHM,0.191608
ARG,03,KOR,0.414492
ARG,03,LAO,0.00012
ARG,03,LTU,0.172255
ARG,03,LVA,0.086114
ARG,03,MAR,1.520241
ARG,03,MEX,1.890832
ARG,03,MLT,0.004153
ARG,03,MMR,0.004323
ARG,03,NLD,2.893385
ARG,03,NOR,0.112923
ARG,03,NZL,1.013362
ARG,03,PER,2.6595310000000003
ARG,03,PHL,1.769752
ARG,03,POL,4.086423999999999
ARG,03,PRT,0.173099
ARG,03,ROU,0.236245
ARG,03,ROW,25.867387
ARG,03,RUS,4.923108
ARG,03,SAU,2.049721
ARG,03,SGP,2.8697410000000003
ARG,03,SVK,0.112277
ARG,03,SVN,0.050469
ARG,03,SWE,0.0337509999999999
ARG,03,THA,1.475757
ARG,03,TUN,0.410378
ARG,03,TUR,3.171333
ARG,03,TWN,0.387582
ARG,03,USA,7.524775
ARG,03,VNM,5.474049
ARG,03,ZAF,1.625019
ARG,05T06,ARG,3275.8690760000004
ARG,05T06,AUS,0.2126979999999999
ARG,05T06,AUT,0.037152000000000004
ARG,05T06,BEL,0.32598699999999997
ARG,05T06,BGR,0.008346
ARG,05T06,BRA,1.352762
ARG,05T06,BRN,0.003227
ARG,05T06,CAN,0.204322
ARG,05T06,CHE,0.242077
ARG,05T06,CHL,49.500475
ARG,05T06,CHN,7.084421
ARG,05T06,COL,1.0081319999999998
ARG,05T06,CRI,0.018456
ARG,05T06,CYP,0.0106699999999999
ARG,05T06,CZE,0.014889
ARG,05T06,DEU,0.60739
ARG,05T06,DNK,0.262203
ARG,05T06,ESP,0.544728
ARG,05T06,EST,0.001555
ARG,05T06,FIN,0.188062
ARG,05T06,FRA,0.336524
ARG,05T06,GBR,0.472272
ARG,05T06,GRC,0.051919
ARG,05T06,HRV,0.0030559999999999
ARG,05T06,HUN,0.017059
ARG,05T06,IDN,0.469033
ARG,05T06,IND,1.5388579999999998
ARG,05T06,IRL,0.797544
ARG,05T06,ISL,0.002575
ARG,05T06,ISR,0.061548
ARG,05T06,ITA,0.4494729999999999
ARG,05T06,JPN,0.536143
ARG,05T06,KAZ,0.018571
ARG,05T06,KHM,0.0097109999999999
ARG,05T06,KOR,0.8871129999999999
ARG,05T06,LAO,0.000116
ARG,05T06,LTU,0.017038
ARG,05T06,LVA,0.004822
ARG,05T06,MAR,0.10068
ARG,05T06,MEX,0.360352
ARG,05T06,MLT,0.000368
ARG,05T06,MMR,0.002157
ARG,05T06,NLD,21.329707999999997
ARG,05T06,NOR,0.021261
ARG,05T06,NZL,0.065813
ARG,05T06,PER,0.27824099999999996
ARG,05T06,PHL,0.109494
ARG,05T06,POL,0.182034
ARG,05T06,PRT,0.0171839999999999
ARG,05T06,ROU,0.019492
ARG,05T06,ROW,6.006483
ARG,05T06,RUS,0.282709
ARG,05T06,SAU,0.259304
ARG,05T06,SGP,0.3337359999999999
ARG,05T06,SVK,0.007624
ARG,05T06,SVN,0.007879
ARG,05T06,SWE,0.081818
ARG,05T06,THA,0.195311
ARG,05T06,TUN,0.01986
ARG,05T06,TUR,5.015311
ARG,05T06,TWN,0.057367999999999995
ARG,05T06,USA,5.493709
ARG,05T06,VNM,0.265643
ARG,05T06,ZAF,0.120181
ARG,07T08,ARG,225.674398
ARG,07T08,AUS,0.000296
ARG,07T08,AUT,0.0041919999999999
ARG,07T08,BEL,0.044617
ARG,07T08,BGR,0.000117
ARG,07T08,BRA,0.424
ARG,07T08,BRN,1.1e-05
ARG,07T08,CAN,0.009217
ARG,07T08,CHE,0.022931
ARG,07T08,CHL,0.0923239999999999
ARG,07T08,CHN,0.011762
ARG,07T08,COL,0.00631
ARG,07T08,CRI,0.0
ARG,07T08,CYP,0.0
ARG,07T08,CZE,0.000321
ARG,07T08,DEU,11.762792
ARG,07T08,DNK,0.009553
ARG,07T08,ESP,0.019592
ARG,07T08,EST,3e-06
ARG,07T08,FIN,0.0200489999999999
ARG,07T08,FRA,0.026046
ARG,07T08,GBR,0.019987
ARG,07T08,GRC,4.1e-05
ARG,07T08,HRV,0.0
ARG,07T08,HUN,0.000383
ARG,07T08,IDN,0.002314
ARG,07T08,IND,0.000729
ARG,07T08,IRL,0.113858
ARG,07T08,ISL,1.6e-05
ARG,07T08,ISR,7.000000000000001e-05
ARG,07T08,ITA,0.0752709999999999
ARG,07T08,JPN,9.274835
ARG,07T08,KAZ,4e-06
ARG,07T08,KHM,0.0001329999999999
ARG,07T08,KOR,0.118746
ARG,07T08,LAO,0.0
ARG,07T08,LTU,3e-06
ARG,07T08,LVA,0.0
ARG,07T08,MAR,2e-06
ARG,07T08,MEX,0.0066359999999999
ARG,07T08,MLT,0.0
ARG,07T08,MMR,0.000131
ARG,07T08,NLD,2.732226
ARG,07T08,NOR,0.000124
ARG,07T08,NZL,0.408872
ARG,07T08,PER,0.000388
ARG,07T08,PHL,2e-05
ARG,07T08,POL,0.0002249999999999
ARG,07T08,PRT,0.000854
ARG,07T08,ROU,1.4e-05
ARG,07T08,ROW,0.060468
ARG,07T08,RUS,0.000859
ARG,07T08,SAU,2.4e-05
ARG,07T08,SGP,0.023494
ARG,07T08,SVK,0.0
ARG,07T08,SVN,2.1e-05
ARG,07T08,SWE,0.006625
ARG,07T08,THA,0.004261
ARG,07T08,TUN,1.8e-05
ARG,07T08,TUR,7e-06
ARG,07T08,TWN,0.003244
ARG,07T08,USA,0.461651
ARG,07T08,VNM,0.000438
ARG,07T08,ZAF,0.001762
ARG,10T12,ARG,51555.19872
ARG,10T12,AUS,207.935717
ARG,10T12,AUT,16.342387
ARG,10T12,BEL,68.680274
ARG,10T12,BGR,3.044895
ARG,10T12,BRA,688.9079059999999
ARG,10T12,BRN,3.302987
ARG,10T12,CAN,62.149614
ARG,10T12,CHE,30.865441
ARG,10T12,CHL,422.971159
ARG,10T12,CHN,603.3903519999999
ARG,10T12,COL,48.162142
ARG,10T12,CRI,8.819766
ARG,10T12,CYP,10.747034
ARG,10T12,CZE,13.68184
ARG,10T12,DEU,242.236442
ARG,10T12,DNK,57.784062
ARG,10T12,ESP,365.489269
