row_country,row_sector,col_country,col_sector,value
ZAF,62T63,LTU,49,0.0007689999966403
ZAF,62T63,LTU,50,8.000000198994336e-06
ZAF,62T63,LTU,51,0.0003419999907248
ZAF,62T63,LTU,52,0.0001059999994396
ZAF,62T63,LTU,53,3.3999998996169816e-05
ZAF,62T63,LTU,55T56,3.0999999675096825e-05
ZAF,62T63,LTU,58T60,0.0001749999994685
ZAF,62T63,LTU,61,0.0002810000038186
ZAF,62T63,LTU,62T63,0.0003300000001605
ZAF,62T63,LTU,64T66,0.0002619999940542
ZAF,62T63,LTU,68,4.200000013070167e-05
ZAF,62T63,LTU,69T75,0.0004939999979058
ZAF,62T63,LTU,77T82,0.0001190000002078
ZAF,62T63,LTU,84,0.0001279999998888
ZAF,62T63,LTU,85,0.0001079999989454
ZAF,62T63,LTU,86T88,5.299999990834444e-05
ZAF,62T63,LTU,90T93,3.499999964600531e-05
ZAF,62T63,LTU,94T98,5.900000045678019e-05
ZAF,62T63,LVA,01T02,7.500000071471887e-05
ZAF,62T63,LVA,03,0.0
ZAF,62T63,LVA,05T06,0.0
ZAF,62T63,LVA,07T08,4.999999546150886e-06
ZAF,62T63,LVA,10T12,0.0001499999970841
ZAF,62T63,LVA,13T15,1.0000000151393798e-05
ZAF,62T63,LVA,16,3.5000000191444026e-05
ZAF,62T63,LVA,17T18,2.599999768484551e-05
ZAF,62T63,LVA,19,0.0
ZAF,62T63,LVA,20,1.1000000117781391e-05
ZAF,62T63,LVA,21,3.3000002638100725e-05
ZAF,62T63,LVA,22,7.000000047828798e-06
ZAF,62T63,LVA,23,2.3999999733814977e-05
ZAF,62T63,LVA,24,3.0000008752237742e-06
ZAF,62T63,LVA,25,3.9999998733325934e-05
ZAF,62T63,LVA,26,1.9999999526996424e-05
ZAF,62T63,LVA,27,4.2000002168024e-05
ZAF,62T63,LVA,28,1.3999999231471687e-05
ZAF,62T63,LVA,29T30,5.49999953258909e-05
ZAF,62T63,LVA,31T33,2.1999999517987065e-05
ZAF,62T63,LVA,35,0.0003369999971222
ZAF,62T63,LVA,36T39,4.0000001641228863e-05
ZAF,62T63,LVA,41T43,0.0001450000000267
ZAF,62T63,LVA,45T47,0.001318999996974
ZAF,62T63,LVA,49,0.0009319999935491
ZAF,62T63,LVA,50,3.999999762388712e-06
ZAF,62T63,LVA,51,0.0001680000033701
ZAF,62T63,LVA,52,0.001021000003634
ZAF,62T63,LVA,53,2.699999586996408e-05
ZAF,62T63,LVA,55T56,0.0001319999970502
ZAF,62T63,LVA,58T60,0.0004969999755656
ZAF,62T63,LVA,61,0.0009299999865601
ZAF,62T63,LVA,62T63,0.0039759999076603
ZAF,62T63,LVA,64T66,0.0020789999791802
ZAF,62T63,LVA,68,0.0001139999998178
ZAF,62T63,LVA,69T75,0.0016049999963106
ZAF,62T63,LVA,77T82,0.0009999999981385
ZAF,62T63,LVA,84,0.000713000001871
ZAF,62T63,LVA,85,0.0001229999998812
ZAF,62T63,LVA,86T88,0.0002060000007456
ZAF,62T63,LVA,90T93,0.0003239999885255
ZAF,62T63,LVA,94T98,8.599999769422198e-05
ZAF,62T63,MAR,01T02,7.699999985238852e-05
ZAF,62T63,MAR,03,1.1999999620801885e-05
ZAF,62T63,MAR,05T06,0.0002559999662327
ZAF,62T63,MAR,07T08,0.0006080000001752
ZAF,62T63,MAR,10T12,0.0037899999961207
ZAF,62T63,MAR,13T15,0.0015969999979413
ZAF,62T63,MAR,16,4.399999726846292e-05
ZAF,62T63,MAR,17T18,0.0005880000018807
ZAF,62T63,MAR,19,4.999996762630034e-06
ZAF,62T63,MAR,20,0.0012809999977904
ZAF,62T63,MAR,21,0.0007419999865158
ZAF,62T63,MAR,22,0.0001139999994308
ZAF,62T63,MAR,23,0.0009110000010099
ZAF,62T63,MAR,24,0.000300999992598
ZAF,62T63,MAR,25,0.0005989999912727
ZAF,62T63,MAR,26,0.0004580000079636
ZAF,62T63,MAR,27,0.0019079999794701
ZAF,62T63,MAR,28,6.299999907353024e-05
ZAF,62T63,MAR,29T30,0.0024659999796437
ZAF,62T63,MAR,31T33,0.0005219999904223
ZAF,62T63,MAR,35,0.0020939999772783
ZAF,62T63,MAR,36T39,0.0002259999747402
ZAF,62T63,MAR,41T43,0.001485000002204
ZAF,62T63,MAR,45T47,0.0064589999828424
ZAF,62T63,MAR,49,0.0050610000228945
ZAF,62T63,MAR,50,0.0009480000113223
