row_country,row_sector,value
ARG,01T02,55102.686125704335
ARG,03,2914.68844465323
ARG,05T06,27522.787702446847
ARG,07T08,4926.994900177776
ARG,10T12,79483.00957230938
ARG,13T15,9697.197644517402
ARG,16,2088.9434807907396
ARG,17T18,10655.803822544945
ARG,19,17616.546446206958
ARG,20,19263.312309692417
ARG,21,7801.232083550836
ARG,22,8510.293647676845
ARG,23,6769.692476492745
ARG,24,12856.668218064131
ARG,25,6863.30296679033
ARG,26,4968.859565407671
ARG,27,3236.2038343502654
ARG,28,9484.392214706848
ARG,29T30,17304.16932934035
ARG,31T33,3808.249976049356
ARG,35,24888.622668436547
ARG,36T39,5943.996056414363
ARG,41T43,39715.356509453915
ARG,45T47,95312.84160932165
ARG,49,32493.67716068904
ARG,50,1296.365313618403
ARG,51,2936.7252851705707
ARG,52,8977.859231227543
ARG,53,1376.1671726051482
ARG,55T56,28783.0009767377
ARG,58T60,11327.11528629273
ARG,61,13495.246415307818
ARG,62T63,3428.6446339630616
ARG,64T66,34559.60940467342
ARG,68,20727.869016261342
ARG,69T75,25627.216148151936
ARG,77T82,26787.9670446724
ARG,84,50559.100240866166
ARG,85,31895.142496608085
ARG,86T88,41480.08582424586
ARG,90T93,4784.028520266382
ARG,94T98,20931.5851132124
AUS,01T02,66380.54243523182
AUS,03,8497.499621103718
AUS,05T06,125799.2430961901
AUS,07T08,104398.27483553792
AUS,10T12,78523.09464290766
AUS,13T15,4591.318611140894
AUS,16,11083.503620919302
AUS,17T18,11797.132420356871
AUS,19,17650.80010344005
AUS,20,12493.071651028822
AUS,21,9029.920012379835
AUS,22,11039.528384668549
AUS,23,15622.15881848495
AUS,24,41821.54091871672
AUS,25,22662.398518572416
AUS,26,8189.846347769815
AUS,27,4672.013297800966
AUS,28,10127.491852671841
AUS,29T30,19608.015751870043
AUS,31T33,16495.69904759249
AUS,35,56913.61940856064
AUS,36T39,28723.164722627473
AUS,41T43,341602.9120369918
AUS,45T47,212454.6386662844
AUS,49,43110.8727609087
AUS,50,20962.2553490683
AUS,51,21434.449831432696
AUS,52,48776.070885488785
AUS,53,11348.523406390505
AUS,55T56,66566.16993707136
AUS,58T60,19655.050747438203
AUS,61,42752.00380775459
AUS,62T63,57726.009127015226
AUS,64T66,185938.52019913564
AUS,68,212626.3402149114
AUS,69T75,137658.64065518384
AUS,77T82,114632.58270774849
AUS,84,118440.30151597396
AUS,85,95538.6315368486
AUS,86T88,138822.8212798703
AUS,90T93,29642.203725620995
AUS,94T98,24490.931428791973
AUT,01T02,11746.427007101094
AUT,03,104.50301444834619
AUT,05T06,1269.7737906063408
AUT,07T08,1588.8717520686562
AUT,10T12,27086.64890993385
AUT,13T15,3398.68198281744
AUT,16,11046.02866753918
AUT,17T18,10664.98239456344
AUT,19,7421.619687945318
AUT,20,16869.994869899718
AUT,21,5352.7758769187085
AUT,22,8228.777306800948
AUT,23,8167.99764812202
AUT,24,21937.864587369942
AUT,25,20120.168005054325
AUT,26,11150.561276410801
AUT,27,15720.117276456622
AUT,28,30148.583855540193
AUT,29T30,25933.18572893736
AUT,31T33,15886.057426713176
AUT,35,39183.282631063565
AUT,36T39,9917.868404731045
AUT,41T43,69233.2726751016
AUT,45T47,84174.64646175815
AUT,49,21631.312945413916
AUT,50,915.4930576486809
AUT,51,3848.4460533857628
AUT,52,15075.483147908548
AUT,53,3661.300754935265
AUT,55T56,34429.272894003436
AUT,58T60,7020.320970219716
AUT,61,7305.273641418284
AUT,62T63,16243.123078074641
AUT,64T66,32229.04828729258
AUT,68,60109.691823705
AUT,69T75,42549.35604159656
AUT,77T82,27671.286692185735
AUT,84,30552.212351458722
AUT,85,26269.289354454293
AUT,86T88,42293.76386141973
AUT,90T93,7786.854476546435
AUT,94T98,9728.49862285058
BEL,01T02,11827.406366277548
BEL,03,177.50413182256165
BEL,05T06,35.691647530676256
BEL,07T08,1078.6451823609236
BEL,10T12,51997.18804473766
BEL,13T15,6627.1213821953115
BEL,16,4519.248963803976
BEL,17T18,8611.411169797346
BEL,19,31740.508840072886
BEL,20,39585.41732122849
BEL,21,32598.79779162485
BEL,22,17283.853114296267
BEL,23,10308.815913020519
BEL,24,32840.08621325934
BEL,25,17020.59100213666
BEL,26,5097.128312647239
BEL,27,4246.816449519518
BEL,28,14920.513953940015
BEL,29T30,18872.350425416735
BEL,31T33,11716.540851586047
BEL,35,17208.696065988777
BEL,36T39,14485.897203602544
BEL,41T43,101031.35823953591
BEL,45T47,128608.64848224068
BEL,49,27842.514002167994
BEL,50,3709.4904308825817
BEL,51,7440.117045832908
BEL,52,34194.12154345431
BEL,53,5822.56097371004
BEL,55T56,23997.05644482017
BEL,58T60,11258.116509107513
BEL,61,18619.46746248422
BEL,62T63,45987.40557891368
BEL,64T66,184824.15904586433
BEL,68,67573.74357838668
BEL,69T75,114295.99032160608
BEL,77T82,58042.52068903002
BEL,84,54532.51094268736
BEL,85,42014.29858462897
BEL,86T88,65749.0917152575
BEL,90T93,9081.452991969221
BEL,94T98,14427.729382668425
BGR,01T02,5385.650387036316
BGR,03,65.2308515268004
BGR,05T06,531.2340082498472
BGR,07T08,1452.356119179847
BGR,10T12,6534.103718781592
BGR,13T15,2384.7046355771236
BGR,16,627.9795088654441
BGR,17T18,1225.6166759543019
BGR,19,3739.954999399877
BGR,20,1722.781891084478
BGR,21,729.9862975499057
BGR,22,2028.6252742748957
BGR,23,1666.7017524509033
BGR,24,6028.26081894128
BGR,25,2615.6957711568757
BGR,26,775.5588105135536
BGR,27,2139.5458581956977
BGR,28,2150.3486784406755
BGR,29T30,1793.678978526936
BGR,31T33,2117.2908844381645
BGR,35,4342.091988757567
BGR,36T39,1081.8777723343178
BGR,41T43,9813.982984457685
BGR,45T47,15205.242081658424
BGR,49,6270.538202078964
BGR,50,150.9237157677763
BGR,51,758.0724158268365
BGR,52,2765.759393952004
BGR,53,517.8272332009316
BGR,55T56,2930.6352938938285
BGR,58T60,883.234269852861
BGR,61,1951.8284661650227
BGR,62T63,3828.863637743463
BGR,64T66,5646.512766234235
BGR,68,8138.22631723834
BGR,69T75,4497.103953406461
BGR,77T82,3118.474571022581
BGR,84,5019.476604698558
BGR,85,2742.500834459554
BGR,86T88,3639.6665952875505
BGR,90T93,2462.1840663187377
BGR,94T98,1356.17281664865
BRA,01T02,150883.8592721441
BRA,03,7288.049474271304
BRA,05T06,53870.10115560333
BRA,07T08,37598.2517170397
BRA,10T12,197855.5173230911
BRA,13T15,42797.54464585749
BRA,16,8474.573913025342
BRA,17T18,33944.96328455581
BRA,19,130186.48397101773
BRA,20,82443.47178564977
BRA,21,19767.35141056158
BRA,22,31427.247134309815
BRA,23,21749.168095611025
BRA,24,47847.42966850502
BRA,25,26433.03791174395
BRA,26,26845.268245280997
BRA,27,20726.888735363857
BRA,28,33526.251348346996
BRA,29T30,88124.23312677344
BRA,31T33,40238.605465739834
BRA,35,83778.4238777896
BRA,36T39,19873.24345909202
BRA,41T43,143132.84951673032
BRA,45T47,310984.5304821339
BRA,49,103397.99465942322
BRA,50,5973.969202859368
BRA,51,11616.857869481035
BRA,52,28640.593833537256
BRA,53,9148.198380902568
BRA,55T56,79004.3301392388
BRA,58T60,16016.573962957724
BRA,61,43265.776039457305
BRA,62T63,43403.445429700456
BRA,64T66,172961.3993644415
BRA,68,176990.88798216655
BRA,69T75,111460.51855438139
BRA,77T82,84892.1265107665
BRA,84,222646.89340794523
BRA,85,128214.51931384129
BRA,86T88,109792.85291436106
BRA,90T93,10549.333046038666
BRA,94T98,88671.8355190398
BRN,01T02,156.73331113283336
BRN,03,5.323963804208189
BRN,05T06,10185.488469842789
BRN,07T08,101.02910089932621
BRN,10T12,61.6304756141848
BRN,13T15,127.86491126284429
BRN,16,6.641773869786603
BRN,17T18,22.519282960377815
BRN,19,3149.5131556446568
BRN,20,169.71543550836472
BRN,21,0.444433993726167
BRN,22,21.020672729910476
BRN,23,64.89337003340819
BRN,24,45.33928336253927
BRN,25,23.85545039989335
BRN,26,12.177596820197593
BRN,27,22.1463651419854
BRN,28,23.35910816642683
BRN,29T30,192.94526801791602
BRN,31T33,49.435224588416155
BRN,35,244.42237446717417
BRN,36T39,77.99042068949939
BRN,41T43,1519.3497085617512
BRN,45T47,1350.4544769623153
BRN,49,83.21354653669981
BRN,50,236.88065326137317
BRN,51,358.6523820798258
BRN,52,103.40158425071448
BRN,53,15.415305607125207
BRN,55T56,255.5996899684756
BRN,58T60,45.51445128392603
BRN,61,457.65640770750696
BRN,62T63,16.555010994124686
BRN,64T66,1148.2792166744046
BRN,68,407.25666226394776
BRN,69T75,640.0155868977314
BRN,77T82,145.52490408241968
BRN,84,3110.9355326411332
BRN,85,823.4382446389052
BRN,86T88,420.3865800241486
BRN,90T93,14.315889050282756
BRN,94T98,33.9754642139325
CAN,01T02,74594.14994622901
CAN,03,4343.395449267647
CAN,05T06,113728.05693903995
CAN,07T08,30629.635147869387
CAN,10T12,97504.5395155267
CAN,13T15,5400.503571318226
CAN,16,27422.015847392162
CAN,17T18,30833.060784954574
CAN,19,49930.86514514878
CAN,20,37009.69004954892
CAN,21,10160.271895214122
CAN,22,24782.54817985469
CAN,23,18417.923888537483
CAN,24,57747.49253145241
CAN,25,29785.058044307858
CAN,26,11926.566040199868
CAN,27,9113.918014568073
CAN,28,31259.979319107493
CAN,29T30,109049.26973519224
CAN,31T33,30388.92110571944
CAN,35,44586.171375456346
CAN,36T39,14797.11186227067
CAN,41T43,267235.199557656
CAN,45T47,281956.681832232
CAN,49,80924.05772631156
CAN,50,4503.941222204196
CAN,51,20354.76943213284
CAN,52,35892.29761369797
CAN,53,11833.172280329709
CAN,55T56,77853.77961377826
CAN,58T60,34168.59510227265
CAN,61,50260.122803753125
CAN,62T63,52145.01850205523
CAN,64T66,214138.21281575004
CAN,68,259043.04104146332
CAN,69T75,112351.66841663215
CAN,77T82,83632.43815720925
CAN,84,208660.10192416268
CAN,85,110758.94006129085
CAN,86T88,174347.66076843726
CAN,90T93,25698.235432485024
CAN,94T98,35644.90904827482
CHE,01T02,11427.320733293689
CHE,03,47.88272589206794
CHE,05T06,764.3901996186797
CHE,07T08,1102.1925006288525
CHE,10T12,40385.19078477794
CHE,13T15,3238.9278460153364
CHE,16,7948.551452550427
CHE,17T18,5975.963039548904
CHE,19,17594.94318506551
CHE,20,9986.049230761539
CHE,21,100916.80928819874
CHE,22,7195.054180825107
CHE,23,6182.817129371422
CHE,24,5405.697040354405
CHE,25,18450.752240696518
CHE,26,59702.925300123155
CHE,27,21791.519271305617
CHE,28,31007.552792723727
CHE,29T30,7593.384941974686
CHE,31T33,16465.56584211287
CHE,35,37999.723089890285
CHE,36T39,5515.343033627003
CHE,41T43,78144.62221779108
CHE,45T47,176042.5570127317
CHE,49,28355.350143938922
CHE,50,26611.660883184573
CHE,51,7774.638647406248
CHE,52,18105.753443211932
CHE,53,5422.323137574608
CHE,55T56,23889.603481808896
CHE,58T60,7433.832820313764
CHE,61,16250.765699653399
CHE,62T63,29107.176425907994
