country,sector,value
ARG,01T02,206.7409617
ARG,03,0.226
ARG,05T06,36.384819441196264
ARG,07T08,0.2514118522955766
ARG,10T12,4.238
ARG,13T15,2.351
ARG,16,0.1319627822003931
ARG,17T18,0.616
ARG,19,6.170397678059764
ARG,20,4.102959565
ARG,21,0.382
ARG,22,3.563
ARG,23,9.00608301
ARG,24,8.3674433925
ARG,25,0.08
ARG,26,0.017
ARG,27,0.016
ARG,28,0.077
ARG,29T30,0.159
ARG,31T33,1.279
ARG,35,42.324
ARG,36T39,0.302
ARG,41T43,0.414
ARG,45T47,3.002
ARG,49,11.883
ARG,50,1.894
ARG,51,3.583
ARG,52,0.952
ARG,53,0.071
ARG,55T56,0.344
ARG,58T60,0.144
ARG,61,0.192
ARG,62T63,0.042
ARG,64T66,0.478
ARG,68,0.205
ARG,69T75,0.432
ARG,77T82,0.855
ARG,84,1.677
ARG,85,0.435
ARG,86T88,0.505
ARG,90T93,0.078
ARG,94T98,0.185
AUS,01T02,177.2958111
AUS,03,1.276
AUS,05T06,43.92286219451133
AUS,07T08,20.793641536369492
AUS,10T12,3.183
AUS,13T15,0.412
AUS,16,0.3695130418609765
AUS,17T18,0.923
AUS,19,23.2273820530442
AUS,20,9.600735425
AUS,21,1.675
AUS,22,0.694
AUS,23,11.1685515
AUS,24,24.815074250000002
AUS,25,0.442
AUS,26,0.034
AUS,27,0.024
AUS,28,0.065
AUS,29T30,0.1129999999999999
AUS,31T33,0.34
AUS,35,179.054
AUS,36T39,0.752
AUS,41T43,8.907
AUS,45T47,3.269
AUS,49,16.033
AUS,50,10.127
AUS,51,21.679
AUS,52,0.786
AUS,53,1.204
AUS,55T56,0.403
AUS,58T60,0.226
AUS,61,1.441
AUS,62T63,0.213
AUS,64T66,1.565
AUS,68,0.852
AUS,69T75,1.188
AUS,77T82,0.809
AUS,84,1.387
AUS,85,0.456
AUS,86T88,0.824
AUS,90T93,0.18
AUS,94T98,0.138
AUT,01T02,9.0846119
AUT,03,0.004
AUT,05T06,2.4928152358703652
AUT,07T08,0.4644061876203174
AUT,10T12,0.794
AUT,13T15,0.09
AUT,16,0.38046422413026
AUT,17T18,1.658
AUT,19,1.4313740008109785
AUT,20,3.10782775
AUT,21,0.375
AUT,22,0.062
AUT,23,5.3442375
AUT,24,9.429235494999999
AUT,25,0.157
AUT,26,0.072
AUT,27,0.143
AUT,28,0.232
AUT,29T30,0.178
AUT,31T33,0.22
AUT,35,8.315
AUT,36T39,0.25
AUT,41T43,1.81
AUT,45T47,1.222
AUT,49,4.025
AUT,50,0.609
AUT,51,3.276
AUT,52,0.27
AUT,53,0.047
AUT,55T56,0.544
AUT,58T60,0.039
AUT,61,0.04
AUT,62T63,0.128
AUT,64T66,0.158
AUT,68,0.404
AUT,69T75,0.4
AUT,77T82,0.401
AUT,84,0.689
AUT,85,0.562
AUT,86T88,0.977
AUT,90T93,0.168
AUT,94T98,0.176
BEL,01T02,12.7521054
BEL,03,0.03
BEL,05T06,6.513348270263705
BEL,07T08,0.1120649308719638
BEL,10T12,2.474
BEL,13T15,0.309
BEL,16,0.0801932532845246
BEL,17T18,0.531
BEL,19,5.731761372579805
BEL,20,13.594857833350002
BEL,21,3.212
BEL,22,0.416
BEL,23,8.0798733
BEL,24,6.637055166
BEL,25,0.22
BEL,26,0.058
BEL,27,0.049
BEL,28,0.173
BEL,29T30,0.158
BEL,31T33,0.381
BEL,35,15.624
BEL,36T39,0.352
BEL,41T43,1.492
BEL,45T47,2.086
BEL,49,3.556
BEL,50,8.363999999999999
BEL,51,5.462
BEL,52,0.936
BEL,53,0.223
BEL,55T56,0.318
BEL,58T60,0.131
BEL,61,0.185
BEL,62T63,0.427
BEL,64T66,1.144
BEL,68,0.786
BEL,69T75,1.54
BEL,77T82,1.835
BEL,84,1.187
BEL,85,0.509
BEL,86T88,1.093
BEL,90T93,0.12
BEL,94T98,0.178
BGR,01T02,10.3220786
BGR,03,0.005
BGR,05T06,0.45174927328776787
BGR,07T08,0.3824943319072347
BGR,10T12,0.331
BGR,13T15,0.061
BGR,16,0.053653051082010295
BGR,17T18,0.111
BGR,19,1.709974660291167
BGR,20,3.5611179225500003
BGR,21,0.691
BGR,22,0.026
BGR,23,4.0829519
BGR,24,0.4103551385
BGR,25,0.069
BGR,26,0.014
BGR,27,0.035
BGR,28,0.041
BGR,29T30,0.0209999999999999
BGR,31T33,0.034
BGR,35,22.751
BGR,36T39,0.054
BGR,41T43,0.672
BGR,45T47,0.569
BGR,49,3.353
BGR,50,0.188
BGR,51,0.345
BGR,52,0.096
BGR,53,0.052
BGR,55T56,0.034
BGR,58T60,0.007
BGR,61,0.022
BGR,62T63,0.028
BGR,64T66,0.049
BGR,68,0.067
BGR,69T75,0.042
BGR,77T82,0.099
BGR,84,0.031
BGR,85,0.022
BGR,86T88,0.034
BGR,90T93,0.021
BGR,94T98,0.011
BRA,01T02,1199.3277721
BRA,03,0.085
BRA,05T06,46.92767313647082
BRA,07T08,10.068976413898852
