col_country,col_sector,value
ARG,01T02,31925.437567511162
ARG,03,2088.8738016014636
ARG,05T06,17235.5811448077
ARG,07T08,3540.162555327458
ARG,10T12,25155.778674350484
ARG,13T15,4332.326105337634
ARG,16,1039.7918808734364
ARG,17T18,4753.576748752246
ARG,19,3328.310176081108
ARG,20,6711.76854289282
ARG,21,3196.203424815978
ARG,22,3359.6193090567467
ARG,23,3325.220253294879
ARG,24,5261.739125566922
ARG,25,3247.6323976862886
ARG,26,1379.8640195030807
ARG,27,1323.938596461627
ARG,28,3805.626672289887
ARG,29T30,4684.077174423181
ARG,31T33,2102.3925775066236
ARG,35,12314.60413680459
ARG,36T39,3866.521566065604
ARG,41T43,22139.73479946578
ARG,45T47,69328.5320109593
ARG,49,16560.232266216124
ARG,50,547.1232601050809
ARG,51,945.9111366804134
ARG,52,4138.428727971306
ARG,53,767.1958879296242
ARG,55T56,12846.989385204899
ARG,58T60,4794.595326234935
ARG,61,6059.338746607257
ARG,62T63,1496.4826194534614
ARG,64T66,22180.47917881987
ARG,68,18382.97919573874
ARG,69T75,14466.193127506314
ARG,77T82,20599.96416221307
ARG,84,37611.18977041274
ARG,85,26524.78452301085
ARG,86T88,27601.03394384409
ARG,90T93,2185.4649809851862
ARG,94T98,13685.84681406281
AUS,01T02,27470.436883853254
AUS,03,3134.598326078367
AUS,05T06,79291.540783229
AUS,07T08,56553.342100249196
AUS,10T12,19237.59344074777
AUS,13T15,1739.235164204324
AUS,16,3528.908572884664
AUS,17T18,3807.4730443057597
AUS,19,4367.146972892426
AUS,20,3934.92927606418
AUS,21,3162.237468031847
AUS,22,3408.0311502669974
AUS,23,4886.129339155987
AUS,24,5162.202782088476
AUS,25,7662.095170617373
AUS,26,4085.155517858946
AUS,27,1712.445424958902
AUS,28,3778.2437681314295
AUS,29T30,6060.043377451819
AUS,31T33,6598.929163036506
AUS,35,21880.0174286845
AUS,36T39,14400.275557834795
AUS,41T43,111823.74402296144
AUS,45T47,111117.84493827424
AUS,49,19545.937039971388
AUS,50,9232.70781914919
AUS,51,8284.980074099893
AUS,52,25270.699298373187
AUS,53,4684.840452527801
AUS,55T56,35019.43746072022
AUS,58T60,8766.975712778183
AUS,61,15999.7175085218
AUS,62T63,29901.992887417848
