country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ARG,14932380.0,15228312.0,15572593.0,15870565.0,16071710.0,16313902.0,16513808.0,16594404.0,16979408.0,17375101.0,17521275.0,17832502.0,17855172.0,17879074.0,18227890.0,18221948.0,18556925.0,18771887.0,18931350.0,19008308.0,19361189.0,19696125.0,20034606.0,20551683.0
AUS,9025880.0,9154521.0,9222567.0,9323674.0,9416630.0,9602703.0,9790081.0,9947266.0,10126698.0,10247721.0,10557898.0,10803049.0,10973608.0,11267088.0,11504024.0,11702117.0,11870766.0,12032034.0,12207656.0,12351106.0,12585538.0,12742051.0,12988276.0,13253656.0
AUT,3861900.0,3834135.0,3824275.0,3858803.0,3888164.0,3898783.0,3886722.0,3973195.0,3992074.0,3891161.0,4017551.0,4074735.0,4162536.0,4209811.0,4256958.0,4276701.0,4305238.0,4352268.0,4393921.0,4412726.0,4460834.0,4537417.0,4566592.0,4601213.0
BEL,4195001.0,4197314.0,4218130.0,4255347.0,4367421.0,4411179.0,4307487.0,4350326.0,4381417.0,4465025.0,4615968.0,4634578.0,4722508.0,4766246.0,4788011.0,4887584.0,4866906.0,4902501.0,4957130.0,4983423.0,5001378.0,5005317.0,5037594.0,5089752.0
BGR,3789075.0,3728148.0,3661442.0,3587797.0,3513739.0,3437093.0,3508326.0,3419146.0,3349557.0,3392066.0,3333191.0,3439496.0,3513312.0,3576886.0,3501419.0,3416246.0,3332677.0,3342114.0,3367629.0,3360446.0,3333925.0,3264392.0,3357463.0,3327434.0
BRA,69481464.0,69628072.0,72075057.0,74041135.0,76472273.0,78497705.0,80429452.0,82988108.0,84689861.0,87252301.0,89731925.0,90815967.0,91962421.0,93487964.0,95330511.0,95237854.0,95060189.0,97603864.0,98900705.0,99937531.0,101600920.0,102513774.0,104268846.0,105542221.0
BRN,131766.0,136093.0,140808.0,145936.0,151413.0,157099.0,161019.0,164725.0,168676.0,172751.0,176834.0,179340.0,181974.0,184791.0,187882.0,191152.0,194891.0,198250.0,201354.0,204379.0,207468.0,209836.0,212578.0,219838.0
CAN,15027741.0,15163603.0,15404364.0,15650715.0,15933282.0,16190365.0,16458479.0,16943201.0,17343484.0,17552499.0,17697127.0,17912331.0,18276042.0,18576392.0,18712292.0,18918726.0,19061288.0,19250224.0,19475966.0,19560730.0,19678725.0,19888520.0,20166002.0,20349922.0
CHE,3889042.0,3931851.0,3931900.0,3977054.0,3999625.0,3998130.0,4055917.0,4094212.0,4141641.0,4149456.0,4173059.0,4237497.0,4308347.0,4410305.0,4480663.0,4449903.0,4539303.0,4597342.0,4655858.0,4742868.0,4813685.0,4889972.0,4919832.0,4953968.0
CHL,5737009.0,5872970.0,6011564.0,6137490.0,6240044.0,6283604.0,6316344.0,6385548.0,6571339.0,6782121.0,6980730.0,7198955.0,7410923.0,7730994.0,7845879.0,8032733.0,8315950.0,8423914.0,8556192.0,8714053.0,8861045.0,9000803.0,9208789.0,9391888.0
